ids,clsids,expect_college,expect_edu_raw,linking_idx,teacher_praise,teacher_talk,bonding_idx,hukou_type,cog_score,ses_self,ses_pca,ses_pca_group,parent_edu_max,family_econ,home_books,has_desk,has_computer
18412,420,0.0,5.0,0.389877802619806,3.333333333333333,0.0,-1.2118287797978933,0.0,22,1967.0,-2.4473970468172683,0,3.0,2.0,3.0,0.0,0.6666666666666666
18413,420,1.0,7.0,-0.0132022984356304,3.0,0.0,1.286834124718174,0.0,19,0.0,-0.5871047258808331,0,3.0,3.0,3.0,1.0,0.6666666666666666
18414,420,0.0,4.0,-0.8193625005465031,2.333333333333333,0.0,-0.2123636179914662,1.0,10,0.0,0.18444962465908377,0,3.0,3.0,3.0,1.0,0.0
18415,420,0.0,6.0,0.9829678606700738,2.0,1.0,-0.7120961988946796,0.0,24,0.0,-1.9526795364915852,0,3.0,1.0,3.0,1.0,0.6666666666666666
18416,420,0.0,6.0,-0.416282399491067,2.6666666666666665,0.0,2.286299286524601,1.0,24,1.0,-0.5871047258808331,0,3.0,3.0,3.0,1.0,0.6666666666666666
18417,420,0.0,4.0,-1.2224426016019396,2.0,0.0,1.286834124718174,0.0,18,0.0,-1.269892131186209,0,3.0,2.0,3.0,1.0,0.6666666666666666
18418,420,0.0,6.0,0.7929579036752421,3.6666666666666665,0.0,1.786566705621388,0.0,19,0.0,-0.1466515499578042,0,3.0,3.0,4.0,1.0,0.6666666666666666
18420,420,1.0,9.0,-0.8193625005465031,2.333333333333333,0.0,-0.2123636179914662,1.0,23,1.0,-2.37809507540796,0,2.0,2.0,1.0,1.0,0.6666666666666666
18421,420,0.0,5.0,-0.0132022984356304,3.0,0.0,0.7871015438149604,0.0,20,0.0,-0.8144013182565264,0,2.0,3.0,3.0,1.0,0.6666666666666666
18422,420,1.0,7.0,-0.416282399491067,2.6666666666666665,0.0,0.7871015438149604,1.0,19,0.0,-1.9376418994849312,0,2.0,2.0,2.0,1.0,0.6666666666666666
18423,420,0.0,6.0,0.9829678606700738,2.0,1.0,0.7871015438149604,0.0,31,0.0,-0.5871047258808331,0,3.0,3.0,3.0,1.0,0.6666666666666666
18424,420,0.0,5.0,0.9829678606700738,2.0,1.0,-0.2123636179914662,0.0,23,0.0,-0.34566812467678276,0,6.0,3.0,2.0,1.0,0.6666666666666666
18425,420,0.0,6.0,-1.625522702657376,1.6666666666666667,0.0,0.2873689629117474,0.0,16,1.0,-1.269892131186209,0,3.0,2.0,3.0,1.0,0.6666666666666666
18426,420,0.0,5.0,0.9829678606700738,2.0,1.0,0.2873689629117474,0.0,13,1.0,-0.5871047258808331,0,3.0,3.0,3.0,1.0,0.6666666666666666
18427,420,1.0,8.0,-2.4316829047682487,1.0,0.0,-1.7115613607011066,1.0,17,0.0,-1.027557901803862,0,3.0,3.0,2.0,1.0,0.6666666666666666
18428,420,1.0,9.0,-1.2224426016019396,2.0,0.0,-0.2123636179914662,0.0,20,0.0,-0.8144013182565264,0,2.0,3.0,3.0,1.0,0.6666666666666666
18511,423,1.0,9.0,1.7891280627809465,2.6666666666666665,1.0,0.2873689629117474,0.0,22,0.0,0.8804794106145203,1,8.0,3.0,2.0,1.0,0.0
18512,423,1.0,9.0,-0.0132022984356304,3.0,0.0,0.7871015438149604,0.0,32,1966.0,1.7613857624605782,1,8.0,3.0,4.0,1.0,0.0
18513,423,1.0,8.0,-0.8193625005465031,2.333333333333333,0.0,0.2873689629117474,0.0,29,1972.0,1.534089170084885,1,7.0,3.0,4.0,1.0,0.0
18514,423,1.0,7.0,-1.625522702657376,1.6666666666666667,0.0,-0.2123636179914662,0.0,22,1967.0,0.18444962465908377,0,3.0,3.0,3.0,1.0,0.0
18515,423,1.0,8.0,0.5798877596146376,1.6666666666666667,1.0,-0.2123636179914662,0.0,31,1971.0,1.534089170084885,1,7.0,3.0,4.0,1.0,0.0
18516,423,1.0,9.0,0.7929579036752421,3.6666666666666665,0.0,0.7871015438149604,0.0,26,1973.0,1.9745423460079141,1,7.0,3.0,5.0,1.0,0.0
